Youtuber,Title,Published_date,Views,Likes,Comments
randomfrankp,Room Tour Project 266 - BEST Gaming Setups!,2022-06-26,158890,5301,209
randomfrankp,My 2022 Ultimate Gaming Setup & Studio Tour!,2022-06-25,532146,12269,470
randomfrankp,NEW SteelSeries Apex Pro Mini Wireless Keyboard Review!,2022-06-21,253573,6285,587
randomfrankp,Steelseries Arctis Nova Pro Wireless Headset Review!,2022-06-17,419996,8853,1124
randomfrankp,Cool Tech Under $50 - June!,2022-06-04,984647,36266,3249
randomfrankp,"1 Hour ASMR Typing on Ceramic Keycaps w/ Resin Keyboard (No Talking, No Music)",2022-05-30,90332,2348,201
randomfrankp,Room Tour Project 265 - BEST Gaming Setups!,2022-05-29,151224,5283,268
randomfrankp,Wish sent me a scam keyboard...so I modded it!,2022-05-28,76292,3386,156
randomfrankp,5 Tips to Optimize Your Gaming PC!,2022-05-27,104192,5330,206
randomfrankp,Ceramic Keycaps Are Insane 🤤,2022-05-21,1438757,33620,1042
randomfrankp,NEW Razer Viper V2 Pro Review!,2022-05-10,360808,12114,1498
randomfrankp,Cool Tech Under $50 - May!,2022-05-07,626748,26627,2510
randomfrankp,The Most IMPORTANT Mouse of 2022 - Steelseries Aerox 9 Review!,2022-04-29,130670,3420,464
randomfrankp,Room Tour Project 264 - BEST Desk & Gaming Setups!,2022-04-17,105819,4348,186
randomfrankp,Glorious Model I Mouse Review - The G502 Enemy 😵,2022-04-13,233805,7605,714
randomfrankp,Razer put an Elgato Stream Deck in a keyboard?!,2022-04-09,595375,13864,764
randomfrankp,Cool Tech Under $50 - April!,2022-04-02,1994321,68421,4226
randomfrankp,NEW Corsair K1 RGB Keyboard Review! Innovation at its BEST!,2022-04-01,200353,9542,1046
randomfrankp,Keychron Q2 Keyboard Review After 2 Months!,2022-03-26,161352,3831,214
randomfrankp,Massive GMMK 2 Unboxing & Tons of Keyboard Accessories!,2022-03-23,165654,5695,309
randomfrankp,I'm Back on the Razer Viper Ultimate...and the Viper V2 Pro Leaked!,2022-03-19,206640,6985,827
randomfrankp,"NZXT Function Keyboard Review! The Good, Bad & UGLY.",2022-03-18,137248,4240,470
randomfrankp,Razer Made a GoXLR Mini...the Razer Audio Mixer Review!,2022-03-14,181998,5301,269
randomfrankp,Room Tour Project 263 - Clean & Minimal Setups!,2022-03-06,163408,6221,225
randomfrankp,Cool Tech Under $50 - March!,2022-03-05,381153,16133,1669
randomfrankp,Building an RGB Accent Wall!,2022-03-04,63782,2991,226
randomfrankp,Room Tour Project 262 - BEST Gaming Setups!,2022-02-27,162515,6789,215
randomfrankp,Should I buy this new studio space?!,2022-02-26,50187,2895,392
randomfrankp,WE MADE KEYCAPS!,2022-02-22,73127,3213,276
randomfrankp,These keyboards are CRAZY GOOD!,2022-02-19,237229,7081,292
randomfrankp,Cool Tech Under $50 - February!,2022-02-05,560199,27274,3288
randomfrankp,I'm back.,2022-02-04,176091,13327,1138
randomfrankp,Now THIS is different…Beak 6.5 Custom Keyboard Build!,2021-12-20,170146,5859,417
randomfrankp,Ducky One 3 Mini RGB Keyboard Review!,2021-12-18,414785,9298,512
randomfrankp,I Bought A Keycult on Wish...,2021-12-12,169915,6824,569
randomfrankp,10 Cool Tech Under $50 from 2021 - Holiday Edition!,2021-12-11,892869,29562,794
