channel_name,Geographical_area,Channel_views,Channel_subscribers,Channel_videos,playlist_id
Marques Brownlee,US,3611463956,17200000,1565,UUBJycsmduvYEL83R_U4JriQ
The Tech Chap,GB,340579547,1390000,982,UUzlXf-yUIaOpOjEjPrOO9TA
Quantum Tech HD,ES,4343696821,12500000,479,UU4Tklxku1yPcRIH0VVCKoeA
Mark Rober,US,3639397634,24600000,120,UUY1kMZp36IQSyNx_9h4mpCg
Techmoan,GB,315697491,1310000,600,UU5I2hjZYiW9gZPVkvzM8_Cw
